Feature
numeric__Age
numeric__Income
numeric__LoanAmount
numeric__CreditScore
numeric__MonthsEmployed
numeric__NumCreditLines
numeric__InterestRate
numeric__DTIRatio
categorical__Education_Bachelor's
categorical__Education_High School
categorical__Education_Master's
categorical__Education_PhD
categorical__EmploymentType_Full-time
categorical__EmploymentType_Part-time
categorical__EmploymentType_Self-employed
categorical__EmploymentType_Unemployed
categorical__MaritalStatus_Divorced
categorical__MaritalStatus_Married
categorical__MaritalStatus_Single
categorical__LoanPurpose_Auto
categorical__LoanPurpose_Business
categorical__LoanPurpose_Education
categorical__LoanPurpose_Home
categorical__LoanPurpose_Other
binary__HasMortgage
binary__HasDependents
binary__HasCoSigner
